LOCATION,location_simple,lat,lon
St. Marys / Akulurak,Saint Mary's,62.0523,-163.1811
Chevak,Chevak,61.531,-165.5859
Glennallen / Copper Valley School,Glennallen,62.1127,-145.5278
Alakanuk,Alakanuk,62.6871,-164.6216
Anchorage,Anchorage,61.2163,-149.8948
Barrow / Utqiagvik,Barrow (Utqiagvik),71.2891,-156.7685
Bethel,Bethel,60.8021,-161.7706
Chefornak,Chefornak,60.1576,-164.2825
Cordova,Cordova,60.5403,-145.7588
Dillingham,Dillingham,59.0406,-158.4656
Emmonak,Emmonak,62.7785,-164.5287
Fairbanks,Fairbanks,64.8357,-147.7336
Galena,Galena,64.7418,-156.9543
Holy Cross,Holy Cross,62.2005,-159.7686
Hooper Bay,Hooper Bay,61.5218,-166.0961
Juneau,Juneau,58.3021,-134.4106
Kaltag,Kaltag,64.324700000000007,-158.7238
Ketchikan,Ketchikan,55.3535,-131.6774
Kotlik,Kotlik,63.0316,-163.5549
Kotzebue,Kotzebue,66.8959,-162.58690000000001
Mountain Village,Mountain Village,62.0891,-163.7286
Nome,Nome,64.4976,-165.3841
Nulato,Nulato,64.7178,-158.1087
Pilot Station,Pilot Station,61.9362,-162.892
Seward,Seward,60.13,-149.4433
Nunam Iqua / Sheldon Point,Nunam Iqua,62.5318,-164.8481
St. Michael,Saint Michael,63.4786,-162.0371
Sitka,Sitka,57.0583,-135.3448
Stebbins,Stebbins,63.5194,-162.2877
Tanana,Tanana,65.1712,-152.0879
Teller,Teller,65.2637,-166.367
Tununak,Tununak,60.5862,-165.2514
Toksook Bay,Toksook Bay,60.5331,-165.109
Unalakleet,Unalakleet,63.8769,-160.7948
Wrangell,Wrangell,56.4717,-132.3804
