LOCATION,location_simple,lat,lon,population,total
St. Marys / Akulurak,Saint Mary's,62.0523,-163.1811,566,12
Chevak,Chevak,61.531,-165.5859,1033,5
Glennallen / Copper Valley School,Glennallen,62.1127,-145.5278,465,5
Alakanuk,Alakanuk,62.6871,-164.6216,706,4
Anchorage,Anchorage,61.2163,-149.8948,297483,9
Barrow / Utqiagvik,Barrow (Utqiagvik),71.2891,-156.7685,5041,1
Bethel,Bethel,60.8021,-161.7706,6151,8
Chefornak,Chefornak,60.1576,-164.2825,432,2
Cordova,Cordova,60.5403,-145.7588,2279,1
Dillingham,Dillingham,59.0406,-158.4656,2335,3
Emmonak,Emmonak,62.7785,-164.5287,845,1
Fairbanks,Fairbanks,64.8357,-147.7336,31905,14
Galena,Galena,64.7418,-156.9543,472,2
Holy Cross,Holy Cross,62.2005,-159.7686,167,16
Hooper Bay,Hooper Bay,61.5218,-166.0961,1243,10
Juneau,Juneau,58.3021,-134.4106,32269,2
Kaltag,Kaltag,64.324700000000007,-158.7238,161,2
Ketchikan,Ketchikan,55.3535,-131.6774,8125,1
Kotlik,Kotlik,63.0316,-163.5549,640,1
Kotzebue,Kotzebue,66.8959,-162.58690000000001,3154,4
Mountain Village,Mountain Village,62.0891,-163.7286,811,4
Nome,Nome,64.4976,-165.3841,3691,6
Nulato,Nulato,64.7178,-158.1087,239,8
Pilot Station,Pilot Station,61.9362,-162.892,651,1
Seward,Seward,60.13,-149.4433,2518,1
Nunam Iqua / Sheldon Point,Nunam Iqua,62.5318,-164.8481,201,1
St. Michael,Saint Michael,63.4786,-162.0371,389,7
Sitka,Sitka,57.0583,-135.3448,8748,1
Stebbins,Stebbins,63.5194,-162.2877,645,1
Tanana,Tanana,65.1712,-152.0879,225,1
Teller,Teller,65.2637,-166.367,251,1
Tununak,Tununak,60.5862,-165.2514,362,7
Toksook Bay,Toksook Bay,60.5331,-165.109,673,2
Unalakleet,Unalakleet,63.8769,-160.7948,745,1
Wrangell,Wrangell,56.4717,-132.3804,2387,1
